Player,Pos,Age,Tm,G,MP,FG%,Dist.,% of 2P,% of 0-3,% of 3-10,% of 10-16,% of 16-3P,% of 3P,2P FG%,0-3 FG%,3-10 FG%,10-16 FG%,16-3P FG%,3P FG%,% of 2P assisted,% of 3P assisted,username
Damion Lee,SG,29,GSW,63,1256,0.441,16.4,0.512,0.188,0.146,0.091,0.086,0.488,0.541,0.833,0.429,0.343,0.303,0.337,0.736,0.984,leeda03
Saben Lee,PG,22,DET,37,604,0.390,11.2,0.661,0.379,0.232,0.040,0.011,0.339,0.470,0.597,0.341,0.143,0.000,0.233,0.455,0.786,leesa01
Alex Len,C,28,SAC,39,620,0.534,7.0,0.881,0.415,0.335,0.125,0.006,0.119,0.568,0.712,0.441,0.455,0.000,0.286,0.773,1.000,lenal01
Caris LeVert,SG,27,TOT,58,1781,0.444,12.8,0.700,0.207,0.260,0.201,0.032,0.300,0.497,0.638,0.441,0.442,0.370,0.320,0.303,0.634,leverca01
Kira Lewis Jr.,PG,20,NOP,24,341,0.404,14.8,0.603,0.267,0.171,0.103,0.062,0.397,0.523,0.718,0.400,0.333,0.333,0.224,0.457,0.846,lewiski01
Scottie Lewis,SG,21,CHO,2,7,,,,,,,,,,,,,,,,,lewissc01
Damian Lillard,PG,31,POR,29,1056,0.402,17.9,0.486,0.239,0.071,0.074,0.101,0.514,0.485,0.561,0.308,0.439,0.464,0.324,0.192,0.446,lillada01
Nassir Little,SF,21,POR,42,1088,0.460,14.9,0.511,0.283,0.140,0.038,0.051,0.489,0.584,0.742,0.386,0.333,0.438,0.331,0.691,0.922,littlna01
Isaiah Livers,SF,23,DET,19,383,0.456,20.1,0.289,0.111,0.078,0.033,0.067,0.711,0.538,0.800,0.429,0.667,0.167,0.422,0.643,0.963,liveris01
Kevon Looney,C,25,GSW,82,1732,0.571,4.6,0.997,0.541,0.308,0.066,0.082,0.003,0.573,0.675,0.554,0.292,0.200,0.000,0.736,,looneke01
Brook Lopez,C,33,MIL,13,298,0.466,13.2,0.595,0.298,0.198,0.084,0.015,0.405,0.538,0.821,0.346,0.091,0.000,0.358,0.714,0.947,lopezbr01
Robin Lopez,C,33,ORL,36,612,0.553,6.2,0.970,0.281,0.618,0.055,0.015,0.030,0.560,0.714,0.512,0.364,0.333,0.333,0.519,1.000,lopezro01
Didi Louzada,SG-SF,22,TOT,9,129,0.364,20.0,0.303,0.061,0.121,0.061,0.061,0.697,0.300,0.500,0.000,0.000,1.000,0.391,0.333,1.000,louzama01
Kevin Love,C,33,CLE,74,1665,0.430,19.7,0.373,0.113,0.100,0.084,0.076,0.627,0.493,0.709,0.461,0.391,0.328,0.392,0.571,0.936,loveke01
Kyle Lowry,PG,35,MIA,63,2133,0.440,19.8,0.391,0.121,0.091,0.091,0.088,0.609,0.539,0.711,0.456,0.456,0.473,0.377,0.303,0.653,lowryky01
Gabriel Lundberg,SG,27,PHO,4,44,0.263,19.3,0.579,0.158,0.053,0.000,0.368,0.421,0.182,0.000,0.000,,0.286,0.375,0.000,0.667,lundbga01
Timothé Luwawu-Cabarrot,SF,26,ATL,52,685,0.398,17.5,0.344,0.220,0.070,0.038,0.016,0.656,0.469,0.512,0.385,0.429,0.333,0.361,0.700,0.977,luwawti01
Trey Lyles,PF,26,TOT,75,1537,0.466,12.8,0.628,0.292,0.224,0.077,0.036,0.372,0.552,0.671,0.516,0.279,0.400,0.321,0.600,1.000,lylestr01
Théo Maledon,PG,20,OKC,51,908,0.375,15.3,0.527,0.117,0.334,0.054,0.022,0.473,0.449,0.514,0.462,0.294,0.286,0.293,0.453,0.864,maledth01
Sandro Mamukelashvili,PF,22,MIL,41,407,0.496,13.3,0.548,0.409,0.104,0.026,0.009,0.452,0.556,0.638,0.250,0.667,0.000,0.423,0.629,1.000,mamuksa01
Terance Mann,SF,25,LAC,81,2317,0.484,12.3,0.699,0.313,0.180,0.138,0.068,0.301,0.535,0.690,0.460,0.400,0.298,0.365,0.519,0.842,mannte01
Tre Mann,PG,20,OKC,60,1367,0.393,16.7,0.537,0.102,0.264,0.094,0.078,0.463,0.421,0.533,0.394,0.418,0.370,0.360,0.286,0.663,manntr01
Boban Marjanović,C,33,DAL,23,128,0.600,7.0,0.943,0.329,0.414,0.171,0.029,0.057,0.621,0.783,0.552,0.417,1.000,0.250,0.732,1.000,marjabo01
Lauri Markkanen,SF,24,CLE,61,1878,0.445,16.5,0.459,0.226,0.144,0.061,0.028,0.541,0.548,0.679,0.446,0.326,0.500,0.358,0.684,0.993,markkla01
Naji Marshall,SF,24,NOP,55,735,0.405,12.8,0.610,0.320,0.193,0.071,0.026,0.390,0.537,0.581,0.538,0.526,0.000,0.200,0.557,0.810,marshna01
